,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
74,360.3304443359375,uptrend,uptrend,360.4286804199219,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-03
75,363.43560791015625,uptrend,uptrend,363.43560791015625,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-04
76,362.6888122558594,uptrend,uptrend,363.43560791015625,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-07
77,363.7500915527344,uptrend,uptrend,363.7500915527344,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-08
78,360.4876403808594,reaction,uptrend,363.7500915527344,324.4732971191406,356.92059326171875,360.4876403808594,351.2604675292969,328.69970703125,363.7500915527344,349.1673889160156,324.4732971191406,356.92059326171875,2020-12-09
79,360.3697204589844,reaction,reaction,363.7500915527344,324.4732971191406,356.92059326171875,360.3697204589844,351.2604675292969,328.69970703125,363.7500915527344,349.1673889160156,324.4732971191406,356.92059326171875,2020-12-10
80,359.9472045898437,reaction,reaction,363.7500915527344,324.4732971191406,356.92059326171875,359.9472045898437,351.2604675292969,328.69970703125,363.7500915527344,349.1673889160156,324.4732971191406,356.92059326171875,2020-12-11
81,358.3356628417969,reaction,reaction,363.7500915527344,324.4732971191406,356.92059326171875,358.3356628417969,351.2604675292969,328.69970703125,363.7500915527344,349.1673889160156,324.4732971191406,356.92059326171875,2020-12-14
82,363.18011474609375,rally,reaction,363.7500915527344,324.4732971191406,363.18011474609375,358.3356628417969,351.2604675292969,328.69970703125,363.7500915527344,358.3356628417969,324.4732971191406,356.92059326171875,2020-12-15
83,363.7500915527344,uptrend,rally,363.7500915527344,324.4732971191406,363.18011474609375,358.3356628417969,351.2604675292969,328.69970703125,363.7500915527344,358.3356628417969,324.4732971191406,356.92059326171875,2020-12-16
84,365.7841491699219,uptrend,uptrend,365.7841491699219,324.4732971191406,363.18011474609375,358.3356628417969,351.2604675292969,328.69970703125,363.7500915527344,358.3356628417969,324.4732971191406,356.92059326171875,2020-12-17
85,364.3236083984375,uptrend,uptrend,365.7841491699219,324.4732971191406,363.18011474609375,358.3356628417969,351.2604675292969,328.69970703125,363.7500915527344,358.3356628417969,324.4732971191406,356.92059326171875,2020-12-18
86,363.02099609375,reaction,uptrend,365.7841491699219,324.4732971191406,363.18011474609375,363.02099609375,351.2604675292969,328.69970703125,365.7841491699219,358.3356628417969,324.4732971191406,363.18011474609375,2020-12-21
87,362.4091491699219,reaction,reaction,365.7841491699219,324.4732971191406,363.18011474609375,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,358.3356628417969,324.4732971191406,363.18011474609375,2020-12-22
88,362.7348327636719,reaction,reaction,365.7841491699219,324.4732971191406,363.18011474609375,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,358.3356628417969,324.4732971191406,363.18011474609375,2020-12-23
89,364.14599609375,reaction,reaction,365.7841491699219,324.4732971191406,363.18011474609375,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,358.3356628417969,324.4732971191406,363.18011474609375,2020-12-24
90,367.2742919921875,rally,reaction,365.7841491699219,324.4732971191406,367.2742919921875,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,362.4091491699219,324.4732971191406,363.18011474609375,2020-12-28
91,366.5736389160156,uptrend,rally,366.5736389160156,324.4732971191406,367.2742919921875,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,362.4091491699219,324.4732971191406,363.18011474609375,2020-12-29
92,367.0966796875,uptrend,uptrend,367.0966796875,324.4732971191406,367.2742919921875,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,362.4091491699219,324.4732971191406,363.18011474609375,2020-12-30
